,,,,,,,,,,,,,,,,
Number of Form N-400 Application for Naturalization,,,,,,,,,,,,,,,,
"By Category of Naturalization, Case Status, and USCIS Field Office Location",,,,,,,,,,,,,,,,
"July 1, 2022 - September 30, 2022",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,, Applications by Category and Case Status ,,,,,,,,,,,,,,
,,,Naturalization1,,,,Naturalization (Military)1,,,, Total ,,,,,
 USCIS Field Office Location ,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,,
,,,,,,,,,,,,,,,,
 TOTAL ,,," 194,819 "," 292,098 "," 31,695 "," 543,838 "," 2,721 "," 2,663 ", 255 ," 6,386 "," 197,540 "," 294,761 "," 31,950 "," 550,224 ",,
,,,,,,,,,,,,,,,,
Field Office by State6,, Field Office Code ,,,,,,,,,,,,,,
 Alabama ,,,,,,,,,,,,,,,,
, Montgomery , MGA ," 1,040 "," 2,111 ", 55 ," 2,863 ", 53 , 28 , D , 156 ," 1,093 "," 2,139 ", 60 ," 3,019 ",,
 Alaska ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Anchorage  , ANC , 225 , 329 , 59 , 596 , 22 , 20 , D , 65 , 247 , 349 , 63 , 661 ,,
 Arizona ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Phoenix  , PHO ," 2,778 "," 4,014 ", 393 ," 4,960 ", 15 , 20 , D , 35 ," 2,793 "," 4,034 ", 396 ," 4,995 ",,
, Tucson , TUC , 600 , 870 , 92 ," 1,379 ", D , 10 , -   , 19 , 605 , 880 , 92 ," 1,398 ",,
 Arkansas ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Fort Smith  , FSA , 332 , 736 , 27 , 561 , D , D , -   , D , 334 , 741 , 27 , 566 ,,
 California ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Chula Vista , CVC , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
, Fresno  , FRE ," 2,127 "," 4,995 ", 406 ," 5,633 ", 24 , 32 , D , 40 ," 2,151 "," 5,027 ", 407 ," 5,673 ",,
, Imperial , IMP , 286 , 739 , 187 , 856 , D , D , -   , D , 287 , 743 , 187 , 857 ,,
, Los Angeles  , LOS ," 4,132 "," 4,372 ", 862 ," 9,716 ", 12 , 10 , D , 38 ," 4,144 "," 4,382 ", 865 ," 9,754 ",,
, Los Angeles County  , LAC ," 3,530 "," 3,507 "," 1,017 "," 8,592 ", 20 , 18 , D , 28 ," 3,550 "," 3,525 "," 1,019 "," 8,620 ",,
, Sacramento  , SAC ," 3,770 "," 8,077 ", 778 ," 11,223 ", 27 , 11 , D , 85 ," 3,797 "," 8,088 ", 781 ," 11,308 ",,
, San Bernardino , SBD ," 3,021 "," 2,902 ", 578 ," 9,555 ", 27 , 33 , D , 62 ," 3,048 "," 2,935 ", 579 ," 9,617 ",,
, San Diego  , SND ," 2,764 "," 3,866 ", 487 ," 9,067 ", 81 , 185 , 11 , 236 ," 2,845 "," 4,051 ", 498 ," 9,303 ",,
, San Fernando Valley , SFV ," 3,052 "," 2,642 ", 591 ," 8,178 ", 19 , 16 , D , 39 ," 3,071 "," 2,658 ", 594 ," 8,217 ",,
, San Francisco , SFR ," 6,034 "," 15,154 ", 637 ," 15,024 ", 36 , 18 , D , 70 ," 6,070 "," 15,172 ", 640 ," 15,094 ",,
, San Jose  , SNJ ," 3,379 "," 9,290 ", 467 ," 8,207 ", 12 , 22 , -   , 39 ," 3,391 "," 9,312 ", 467 ," 8,246 ",,
, Santa Ana , SAA ," 3,582 "," 4,677 ", 624 ," 9,252 ", 19 , 46 , -   , 26 ," 3,601 "," 4,723 ", 624 ," 9,278 ",,
 Colorado ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Denver  , DEN ," 2,400 "," 2,468 ", 372 ," 6,456 ", 54 , 45 , 10 , 112 ," 2,454 "," 2,513 ", 382 ," 6,568 ",,
 Connecticut ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
