,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of I-485 Applications to Register Permanent Residence or Adjust Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"By Category, Case Status, and USCIS Field Office or Service Center Location",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"April 1, 2022 - June 30, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,                    Family-based1,,,                       Employment-based received at service center2,,,,,              Humanitarian-based3,,,,                        Others4,,,,                          Total ,,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,,,,,,,,,,,,,,,,,,,
,,,,,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total ,,,"83,798","62,395","9,851","387,183","47,366","57,356","2,814","244,570","17,647","36,089","1,273","102,572","10,885","5,656",678,"57,880","159,696","161,496","14,616","792,205",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Office by State9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Alabama ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Montgomery , MGA , 493 , 305 , 54 ," 2,834 ", 185 , 243 , D , 531 , 42 , 268 , D ," 1,751 ", 18 , 15 , D , 151 , 738 , 831 , 62 ," 5,267 ",,,,,,,,,,,,,,,,,,,
 Alaska ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Anchorage  , ANC , 70 , 77 , 12 , 488 , D , 104 , D , 39 , D , -   , -   , 34 , -   , D , -   , D , 77 , 182 , 19 , 563 ,,,,,,,,,,,,,,,,,,,
 Arizona ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Phoenix  , PHO ," 1,438 "," 1,045 ", 123 ," 4,855 ", 478 , 515 , 10 ," 2,234 ", 205 , 176 , 10 , 642 , 15 , 10 , D , 122 ," 2,136 "," 1,746 ", 144 ," 7,853 ",,,,,,,,,,,,,,,,,,,
, Tucson , TUC , 430 , 382 , 48 ," 1,374 ", 54 , 687 , D ," 1,276 ", 39 , 397 , D , 286 , D , D , -   , 20 , 526 ," 1,468 ", 58 ," 2,956 ",,,,,,,,,,,,,,,,,,,
 Arkansas ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
