,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of I-485 Applications to Register Permanent Residence or Adjust Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"By Category, Case Status, and USCIS Field Office or Service Center Location",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"January 1, 2022 - March 31, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,                    Family-based1,,,                       Employment-based received at service center2,,,,,              Humanitarian-based3,,,,                        Others4,,,,                          Total ,,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,,,,,,,,,,,,,,,,,,,
,,,,,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total ,,,"77,205","68,861","11,356","360,073","39,397","30,686","1,970","257,564","12,344","16,314","1,561","124,348","12,608","6,192",772,"54,622","141,554","122,053","15,659","796,607",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Office by State9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Alabama ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Montgomery , MGA , 476 , 345 , 79 ," 2,702 ", 107 , 103 , D , 334 , 45 , 14 , D , 283 , 52 , 20 , D , 164 , 680 , 482 , 86 ," 3,483 ",,,,,,,,,,,,,,,,,,,
 Alaska ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Anchorage  , ANC , 88 , 137 , D , 382 , D , 63 , -   , 96 , D , D , -   , 38 , D , D , D , D , 101 , 202 , D , 519 ,,,,,,,,,,,,,,,,,,,
 Arizona ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Phoenix  , PHO ," 1,299 "," 1,163 ", 135 ," 4,192 ", 305 , 85 , D , 699 , 153 , 80 , D , 927 , 67 , 14 , D , 129 ," 1,824 "," 1,342 ", 145 ," 5,947 ",,,,,,,,,,,,,,,,,,,
, Tucson , TUC , 361 , 379 , 67 ," 1,264 ", 42 , 217 , D , 420 , 30 , 93 , -   , 748 , 11 , D , -   , 20 , 444 , 692 , 76 ," 2,452 ",,,,,,,,,,,,,,,,,,,
 Arkansas ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
