Number of I-485 Applications to Register Permanent Residence or Adjust Status,,,,,,,,,,,,,,,,,,,,,,
"By Category, Case Status, and USCIS Field Office or Service Center Location",,,,,,,,,,,,,,,,,,,,,,
"July 1 - September 30, 2021",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,, Total ,,,
,,, Family-based ,,,,Employment-based received at service center1,,,,Humanitarian-based1,,,,Others1,,,,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
   ,,,,,,,,,,,,,,,,,,,,,,
 Total ,,,"84,943","67,653","11,402","349,350","45,897","86,704","2,225","245,490","13,710","12,186","1,081","127,841","11,898","10,073","1,845","47,747","156,448","176,616","16,553","770,428"
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
, Tampa  , TAM ,"1,238",902,161,"4,589",199,638,13,700,298,738,45,"1,880",72,68, D ,127,"1,807","2,346",228,"7,296"
, West Palm Beach , WPB ,"1,042","1,013",204,"3,302",144,153,11,429,128,238,17,634,57,317,323,467,"1,371","1,721",555,"4,832"
 Georgia ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Atlanta  , ATL ,"2,162","1,143",403,"9,893",504,"1,831",25,"2,438",192,21,14,"1,306",133,71,10,346,"2,991","3,066",452,"13,983"
 Hawaii ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Honolulu  , HHW ,293,99,21,"1,137",30,876,21,340,10, -   , -   ,134, D , D , D ,11,336,978,43,"1,622"
 Idaho ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Boise  , BOI ,168,151,22,677,19,531, D ,183,74, -   , -   ,453, -   , D , -   , D ,261,686,29,"1,321"
 Illinois ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Chicago  , CHI ,"2,854","2,181",286,"10,998",711,"1,931",28,"1,891",458,21, D ,"2,078",54,87, D ,127,"4,077","4,220",327,"15,094"
 Indiana ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Indianapolis  , INP ,688,517,91,"2,687",188,841, D ,517,363,43,22,"1,774",38,48, D ,102,"1,277","1,449",117,"5,080"
 Iowa ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Des Moines , DSM ,252,157,25,739,141,634,11,387,170, D , D ,961,33,31, D ,68,596,827,40,"2,155"
 Kansas ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Wichita , WIC ,208,176,50,582,27,110,11,81,38, D , D ,216, D , D , D , D ,275,294,64,884
 Kentucky ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Louisville  , LOU ,308,322,52,994,98,835,20,344,339,122,22,"2,053",66,56, D ,119,811,"1,335",97,"3,510"
 Louisiana ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, New Orleans  , NOL ,388,176,41,"2,091",86,237,10,378,79,16, D ,393,252,117, D ,901,805,546,61,"3,763"
 Maine ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Portland  , POM ,98,46, D ,304,31,310,13,148,69, D , -   ,257, D ,12, D ,35,205,369,30,744
 Maryland ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Baltimore  , BAL ,"1,831","1,608",182,"8,780",454,243,20,"1,234",503,41,10,"2,241",864,364,23,"1,826","3,652","2,256",235,"14,081"
 Massachusetts ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Boston  , BOS ,"1,757","1,198",220,"6,421",611,"2,275",50,"1,558",159,25, D ,907,229,157,16,501,"2,756","3,655",290,"9,387"
, Lawrence , LAW ,748,526,90,"2,347",225,991, D ,570,80,14, D ,531,45,41, D ,132,"1,098","1,572",107,"3,580"
 Michigan ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Detroit  , DET ,812,"1,235",100,"2,811",630,"1,472",28,"1,523",226,29, D ,"1,324",25,26, D ,80,"1,693","2,762",137,"5,738"
 Minnesota ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, St. Paul  , SPM ,775,849,77,"3,533",245,"1,293",14,779,202,34, D ,"1,633",65,82,14,444,"1,287","2,258",112,"6,389"
 Missouri ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Kansas City  , KAN ,560,236,72,"1,744",127,"1,554",12,510,157,22, D ,899,23,13, D ,63,867,"1,825",91,"3,216"
, St. Louis  , STL ,257,247,27,937,288,860, D ,715,60, D , D ,336,19,14, D ,44,624,"1,122",37,"2,032"
 Montana ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Helena  , HEL ,73,22, D ,203, D ,41, D ,32,11, -   , -   ,51, -   , D , -   , D ,86,64, D ,287
 Nebraska ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Omaha  , OMA ,288,131,40,"1,187",97,912,11,329,121,19, D ,927,77,46, D ,133,583,"1,108",64,"2,576"
 Nevada ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Las Vegas  , LVG ,814,501,123,"3,473",53,239,12,205,152,132,17,671,54,35, D ,80,"1,073",907,153,"4,429"
, Reno  , REN ,172,65,11,592,22,702, D ,225, D , D , -   ,59, D , D , -   ,11,212,774,15,887
 New Hampshire ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Manchester  , MAN ,174,183,24,470,42,314, D ,127,46, D , D ,202, D , D , D , D ,263,502,27,803
New Jersey,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Mount Laurel , MTL ,717,631,126,"2,740",207,941,24,947,69, D , D ,389,50,42,19,189,"1,043","1,619",170,"4,265"
, Newark  , NEW ,"3,027","2,351",528,"13,896","1,167","3,091",73,"4,061",301,67, D ,"2,277",145,146,19,478,"4,640","5,655",623,"20,712"
 New Mexico ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Albuquerque  , ABQ ,324,285,16,705,49,258, D ,237,25, D , D ,142, D ,25, D ,51,406,574,19,"1,135"
 New York ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Albany  , ALB ,175,331,42,"1,008",96,346, D ,287,40, D , D ,260,30,21, D ,88,341,705,49,"1,643"
, Brooklyn , BNY ,"1,455","1,683",324,"10,283",142,449,16,443,188,47, D ,"2,170",174,176,26,543,"1,959","2,355",373,"13,439"
, Buffalo  , BUF ,366,200,32,"1,110",128,"1,131",12,534,202, D ,14,"1,439",18,14, -   ,37,714,"1,354",58,"3,120"
, Long Island , LNY ,"1,221","1,405",235,"5,377",171,527,14,469,117,18, -   ,925,883,260,24,"1,327","2,392","2,210",273,"8,098"
, New York  , NYC ,"2,647","2,542",709,"9,343",438,874,46,"1,418",230,88, D ,"1,695",373,321,20,791,"3,688","3,825",779,"13,247"
, Queens , QNS ,"1,902","2,437",484,"9,267",150,366,23,479,284,48,10,"2,683",197,144,37,734,"2,533","2,995",554,"13,163"
 North Carolina ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Charlotte  , CLT ,797,653,83,"3,164",188,"1,589",14,930,196,23, D ,874,98,81,16,166,"1,279","2,346",115,"5,134"
, Raleigh , RAL ,856,398,72,"3,037",316,"3,667",33,"1,384",59,12, -   ,430,83,37, D ,189,"1,314","4,114",110,"5,040"
 Ohio ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Cincinnati  , CIN ,278,154,28,"1,006",117,598,10,382,119, D , -   ,639,62,18, D ,124,576,774,39,"2,151"
, Cleveland  , CLE ,347,161,38,"1,180",164,698,14,484,113, D , D ,811,12,15, -   ,30,636,878,53,"2,505"
, Columbus , CLM ,357,147,41,"1,383",160,893, D ,539,143, D , D ,779,10,22, D ,51,670,"1,070",50,"2,752"
 Oklahoma ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Oklahoma City  , OKC ,509,368,60,"1,750",105,188, D ,261,102,26, D ,474,11,14, D ,27,727,596,72,"2,512"
 Oregon ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Portland  , POO ,641,479,48,"2,634",203,601, D ,618,192,17, D ,"1,236",19,27, D ,52,"1,055","1,124",60,"4,540"
 Pennsylvania ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Philadelphia , PHI ,"1,868","1,666",225,"6,554",483,"1,758",42,"1,336",304,64, D ,"1,695",149,212,28,603,"2,804","3,700",300,"10,188"
, Pittsburgh  , PIT ,275,142,40,"1,106",188,462, D ,826,41, D , D ,229, D , D , -   ,18,511,612,49,"2,179"
 Rhode Island ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Providence  , PRO ,284,206,33,"1,034",38,424, D ,91,68, D , D ,201,23,29, D ,105,413,662,45,"1,431"
 South Carolina ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Charleston  , CHL ,387,347,56,"1,458",88,249, D ,452,17,58, D ,236,25,21, D ,35,517,675,69,"2,181"
, Greer , GRR ,210,203,24,676,57,579, D ,203,19, D , D ,129,18,15, -   ,29,304,803,29,"1,037"
 Tennessee ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Memphis  , MEM ,290,805,55,"2,047",121,667, D ,567,37,"1,018",56,"1,089",60,65, D ,160,508,"2,555",122,"3,863"
, Nashville , NTN ,567,382,66,"1,990",151,634,17,474,208,60, -   ,891,140,70,11,238,"1,066","1,146",94,"3,593"
 Texas ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Dallas  , DAL ,"3,496","2,933",421,"13,897",883,"2,416",71,"2,660",364,96,29,"1,988",229,149,12,484,"4,972","5,594",533,"19,029"
, El Paso  , ELP ,875,426,54,"2,418",65,403,10,112,24,41, D ,198, D , D , D ,13,970,878,66,"2,741"
, Harlingen  , HLG ,851,919,48,"1,911",19,782, D ,"1,423", D ,27, D ,36, D , D , -   ,19,885,"1,737",55,"3,389"
, Houston  , HOU ,"3,345","2,662",485,"15,281",765,621,33,"2,076",455,317,40,"2,527",130,93,19,254,"4,695","3,693",577,"20,138"
, San Antonio  , SNA ,"1,991","1,473",168,"5,853",385,"1,678",14,"1,453",195,132,14,"1,137",102,92,11,280,"2,673","3,375",207,"8,723"
 Utah ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
