,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"Number of Form I-485, Application to Register Permanent Residence or Adjust Status",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"By Category of Admission, Case Status, and USCIS Field Office or Service Center Location",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"January 1-March 31, 2019 (Fiscal Year 2019, Quarter 2)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,, Total ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, Family-based ,,,,Employment-based received at service center1,,,,Humanitarian-based1,,,,Others1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,,,,,,,,,,,,,,,,,,,,,,,,,
 Total ,,,"71,479","90,915","13,569","346,582","23,272","27,539","2,011","148,390","18,882","30,639","1,655","76,755","6,571","5,339","1,132","30,411","120,204","154,432","18,367","602,138",,,,,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Alabama ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Montgomery , MGA , 454 , 775 , 182 ," 1,647 ", 88 , 184 , D , 605 , D , 34 , -   , 31 , D , D , D , 32 , 557 , 999 , 192 ," 2,315 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Alaska ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,
, Anchorage  , ANC , 118 , 132 , 16 , 399 , D , 12 , -   , 41 , -   , D , -   , 25 , -   , D , -   , -   , 121 , 146 , 16 , 465 ,,,,,,,,,,,,,,,,,,,,,,,,,
 Arizona ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,
, Phoenix  , PHO , 926 , 796 , 168 ," 6,645 ", 159 , 210 , 26 ," 1,281 ", 25 , 44 , D , 253 , 15 , D , -   , 53 ," 1,125 "," 1,055 ", 196 ," 8,232 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Tucson , TUC , 326 , 608 , 46 , 898 , 24 , 39 , -   , 163 , -   , 222 , D , 107 , D , D , D , 12 , 355 , 871 , 51 ," 1,180 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Arkansas ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,
, Fort Smith  , FSA , 159 , 257 , 18 , 622 , 60 , 37 , -   , 296 , -   , 104 , D , 64 , D , -   , -   , 22 , 227 , 398 , 20 ," 1,004 ",,,,,,,,,,,,,,,,,,,,,,,,,
 California ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,
, Chula Vista , CVC , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,
, Fresno  , FRE , 686 ," 1,102 ", 145 ," 1,869 ", 31 , 56 , D , 214 , -   , D , D , 31 , 18 , D , D , 60 , 735 ," 1,173 ", 155 ," 2,174 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Imperial , IMP , 111 , 174 , 16 , 297 , D , D , -   , 42 , -   , -   , -   , D , D , -   , -   , D , 120 , 180 , 16 , 348 ,,,,,,,,,,,,,,,,,,,,,,,,,
, Los Angeles  , LOS ," 1,655 "," 2,534 ", 316 ," 8,109 ", 208 , 520 , 48 ," 2,264 ", D , 51 , 10 , 130 , 58 , 21 , 10 , 226 ," 1,928 "," 3,126 ", 384 ," 10,729 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Los Angeles County  , LAC ," 1,484 "," 2,079 ", 301 ," 7,192 ", 111 , 207 , D , 838 , D , 44 , D , 109 , 17 , 13 , D , 79 ," 1,620 "," 2,343 ", 317 ," 8,218 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Sacramento  , SAC , 779 , 992 , 100 ," 2,916 ", 114 , 188 , 13 , 641 , D , 20 , D , 112 , 14 , D , D , 52 , 909 ," 1,204 ", 120 ," 3,721 ",,,,,,,,,,,,,,,,,,,,,,,,,
, San Bernardino , SBD ," 1,425 "," 2,818 ", 369 ," 3,829 ", 90 , 197 , 16 , 707 , -   , 52 , D , 30 , 13 , 10 , D , 50 ," 1,528 "," 3,077 ", 389 ," 4,616 ",,,,,,,,,,,,,,,,,,,,,,,,,
, San Diego  , SND ," 1,041 "," 1,295 ", 156 ," 2,937 ", 166 , 380 , D ," 1,346 ", D , 25 , 14 , 101 , 16 , D , D , 42 ," 1,228 "," 1,709 ", 181 ," 4,426 ",,,,,,,,,,,,,,,,,,,,,,,,,
, San Fernando Valley , SFV , 993 ," 1,055 ", 266 ," 6,626 ", 116 , 297 , 29 , 899 , D , 15 , D , 84 , 27 , D , D , 77 ," 1,137 "," 1,375 ", 302 ," 7,686 ",,,,,,,,,,,,,,,,,,,,,,,,,
, San Francisco , SFR ," 1,672 "," 1,486 ", 141 ," 11,860 ", 783 ," 1,628 ", 43 ," 5,926 ", 13 , 41 , D , 361 , 68 , 12 , D , 250 ," 2,536 "," 3,167 ", 189 ," 18,397 ",,,,,,,,,,,,,,,,,,,,,,,,,
, San Jose  , SNJ , 881 ," 1,402 ", 127 ," 4,527 "," 1,049 "," 1,582 ", 52 ," 6,344 ", D , 27 , D , 57 , 20 , D , -   , 76 ," 1,954 "," 3,018 ", 181 ," 11,004 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Santa Ana , SAA ," 1,140 "," 1,414 ", 249 ," 6,044 ", 286 , 571 , 38 ," 2,158 ", D , 19 , D , 51 , 17 , D , -   , 70 ," 1,448 "," 2,007 ", 288 ," 8,323 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Colorado ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,
, Denver  , DEN , 992 ," 1,380 ", 208 ," 3,337 ", 150 , 230 , D ," 1,097 ", 18 , 28 , 12 , 112 , 22 , 16 , D , 77 ," 1,182 "," 1,654 ", 231 ," 4,623 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Connecticut ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,
, Hartford  , HAR , 779 , 587 , 125 ," 3,681 ", 193 , 239 , 14 ," 1,451 ", D , -   , D , 46 , D , D , D , 52 , 982 , 828 , 144 ," 5,230 ",,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,
,Dover, DVD , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,
 District of Columbia ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,
, Washington  , WAS ," 1,311 "," 1,559 ", 149 ," 5,238 ", 273 , 373 , 45 ," 2,170 ", 12 , 65 , 10 , 195 , 40 , 28 , D , 307 ," 1,636 "," 2,025 ", 210 ," 7,910 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Florida ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,
, Hialeah , HIA , 644 ," 1,535 ", 160 ," 2,323 ", 129 , 288 , 12 , 963 , 634 ," 2,459 ", 168 ," 2,276 ", D , 10 , D , 64 ," 1,416 "," 4,292 ", 341 ," 5,626 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Jacksonville , JAC , 457 , 515 , 88 ," 1,202 ", 79 , 142 , D , 451 , 35 , 467 , D , 175 , D , D , D , 10 , 572 ," 1,128 ", 99 ," 1,838 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Kendall , KND , 619 ," 1,030 ", 136 ," 2,421 ", 55 , 145 , 12 , 485 , 718 ," 2,080 ", 175 ," 3,059 ", D , D , D , 74 ," 1,397 "," 3,264 ", 326 ," 6,039 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Miami  , MIA ," 1,002 ", 258 , 119 ," 10,159 ", 177 , 356 , 19 ," 1,591 ", 435 , 114 , 22 ," 3,524 ", D , D , D , 160 ," 1,622 ", 733 , 169 ," 15,434 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Fort Myers , OFM , 395 , 358 , 86 ," 2,430 ", 18 , 31 , D , 96 , 137 , 477 , 21 , 904 , D , D , -   , 14 , 551 , 867 , 109 ," 3,444 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Oakland Park , OKL ," 1,331 "," 1,618 ", 297 ," 9,966 ", 167 , 207 , 18 ," 1,005 ", 64 , 375 , 25 , 750 , 19 , 12 , D , 66 ," 1,581 "," 2,212 ", 343 ," 11,787 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Orlando  , ORL ," 1,373 "," 1,729 ", 304 ," 6,291 ", 102 , 260 , 20 ," 1,092 ", 115 , 473 , 31 , 798 , 16 , D , D , 62 ," 1,606 "," 2,471 ", 358 ," 8,243 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Tampa  , TAM ," 1,052 "," 1,201 ", 199 ," 2,941 ", 79 , 179 , D , 596 , 304 , 853 , 60 , 938 , 14 , D , D , 62 ," 1,449 "," 2,241 ", 271 ," 4,537 ",,,,,,,,,,,,,,,,,,,,,,,,,
, West Palm Beach , WPB ," 1,057 "," 1,656 ", 260 ," 3,764 ", 71 , 177 , D , 430 , 116 , 519 , 22 , 593 , 10 , 10 , D , 36 ," 1,254 "," 2,362 ", 290 ," 4,823 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Georgia ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,
, Atlanta  , ATL ," 1,951 "," 2,125 ", 302 ," 10,109 ", 318 , 603 , 17 ," 2,855 ", 26 , 609 , 27 , 438 , 12 , 15 , D , 108 ," 2,307 "," 3,352 ", 348 ," 13,510 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Hawaii ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,
, Honolulu  , HHW , 282 , 270 , 56 ," 1,169 ", 21 , 23 , D , 184 , -   , D , -   , 15 , -   , D , D , D , 303 , 297 , 58 ," 1,372 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Idaho ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,
, Boise  , BOI , 188 , 461 , 49 , 662 , 45 , 53 , -   , 179 , D , 13 , D , 21 , D , -   , -   , D , 239 , 527 , 56 , 869 ,,,,,,,,,,,,,,,,,,,,,,,,,
 Illinois ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,
, Chicago  , CHI ," 2,811 "," 3,670 ", 534 ," 13,754 ", 458 , 808 , 49 ," 3,683 ", 10 , 71 , 10 , 175 , 21 , D , D , 91 ," 3,300 "," 4,557 ", 600 ," 17,703 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Indiana ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,
, Indianapolis  , INP , 645 , 544 , 94 ," 2,064 ", 103 , 214 , D , 801 , 37 , 29 , D , 148 , D , D , -   , 41 , 792 , 788 , 107 ," 3,054 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Iowa ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,
, Des Moines , DSM , 225 , 392 , 47 , 816 , 68 , 76 , D , 379 , D , 23 , D , 57 , D , D , D , 20 , 306 , 492 , 57 ," 1,272 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Kansas ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,
, Wichita , WIC , 159 , 268 , 20 , 643 , 20 , 13 , D , 117 , D , 12 , D , 23 , D , -   , D , 12 , 186 , 293 , 28 , 795 ,,,,,,,,,,,,,,,,,,,,,,,,,
 Kentucky ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,
, Louisville  , LOU , 254 , 339 , 46 , 834 , 85 , 114 , -   , 355 , 92 , 150 , D , 240 , D , D , D , 52 , 440 , 608 , 53 ," 1,481 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Louisiana ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,
, New Orleans  , NOL , 381 , 537 , 59 ," 1,830 ", 64 , 61 , D , 378 , D , 141 , D , 132 , 24 , D , D , 95 , 474 , 744 , 72 ," 2,435 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Maine ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,
