,,,,,,,,,"Number of I-485 Applications to Register Permanent Residence or Adjust Status by Category of              
Admission, Case Status, and USCIS Field Office or Service Center Location              
October 1 - December 31, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,, Total ,,,,,,,,,,,,,,,,,,,,,,,,
,,, Family-based ,,,,Employment-based received at service center1,,,,Humanitarian-based1,,,,Others1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,,,,,,,,,,,,,,,,,,,,,
 Total ,,,"82,888","69,630","11,841","376,383","27,893","33,181","1,543","154,616","21,908","33,011","1,614","89,630","9,482","5,096",987,"32,093","142,171","140,918","15,985","652,722",,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, San Jose  , SNJ ," 1,150 ", 962 , 96 ," 4,605 "," 1,269 "," 2,215 ", 57 ," 6,037 ", D , 20 , D , 62 , 36 , D , D , 65 ," 2,462 "," 3,205 ", 155 ," 10,769 ",,,,,,,,,,,,,,,,,,,,,
, Santa Ana , SAA ," 1,331 "," 1,011 ", 260 ," 6,921 ", 338 , 738 , 68 ," 2,080 ", D , 11 , D , 63 , 19 , 28 , D , 68 ," 1,690 "," 1,788 ", 332 ," 9,132 ",,,,,,,,,,,,,,,,,,,,,
Colorado,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,
, Denver  , DEN ," 1,159 "," 1,335 ", 194 ," 4,155 ", 173 , 306 , 17 ," 1,002 ", 22 , 60 , D , 125 , 30 , D , D , 70 ," 1,384 "," 1,704 ", 224 ," 5,352 ",,,,,,,,,,,,,,,,,,,,,
Connecticut,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,
, Hartford  , HAR , 996 , 462 , 116 ," 3,819 ", 226 , 287 , D ," 1,349 ", D , D , D , 41 , 13 , D , D , 47 ," 1,237 ", 759 , 130 ," 5,256 ",,,,,,,,,,,,,,,,,,,,,
Delaware,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,
,Dover, DVD , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,
District of Columbia,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,
, Washington  , WAS ," 1,504 "," 1,706 ", 158 ," 5,541 ", 373 , 488 , 16 ," 2,013 ", 31 , 65 , D , 227 , 60 , 13 , 17 , 300 ," 1,968 "," 2,272 ", 197 ," 8,081 ",,,,,,,,,,,,,,,,,,,,,
