,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of I-485 Applications to Register Permanent Residence or Adjust Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"By Category, Case Status, and USCIS Field Office or Service Center Location",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"July 1, 2022 - September 30, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Family-based1,,,,Employment-based received at service center2,,,,Humanitarian-based3,,,,Others4,,,, Total ,,,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,,,,,,,,,,,,,,,,,,,
,,,,,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total ,,,"92,386","30,721","8,931","441,992","38,177","82,970","5,918","191,190","13,380","25,169","1,584","42,666","8,365","8,797",962,"47,892","152,308","147,657","17,395","723,740",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Office by State9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Alabama ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, San Fernando Valley , SFV ," 1,366 ", 581 , 150 ," 5,169 ", 125 ," 3,512 ", 243 ," 2,707 ", 58 , 132 , 10 , 137 , 22 , 29 , 13 , 281 ," 1,571 "," 4,254 ", 416 ," 8,294 ",,,,,,,,,,,,,,,,,,,
, San Francisco , SFR ," 2,024 ", 728 , 127 ," 9,484 "," 1,254 ", 741 , 42 ," 4,154 ", 354 , 43 , D , 232 , 51 , 95 , D , 651 ," 3,683 "," 1,607 ", 181 ," 14,521 ",,,,,,,,,,,,,,,,,,,
, San Jose  , SNJ ," 1,249 ", 172 , 63 ," 5,411 "," 1,409 "," 1,045 ", 41 ," 4,413 ", 105 , 13 , D , 130 , D , 40 , D , 175 ," 2,770 "," 1,270 ", 107 ," 10,129 ",,,,,,,,,,,,,,,,,,,
, Santa Ana , SAA ," 1,324 ", 408 , 99 ," 5,365 ", 313 ," 1,651 ", 108 ," 1,318 ", 91 , 110 , D , 109 , 47 , 49 , 18 , 178 ," 1,775 "," 2,218 ", 230 ," 6,970 ",,,,,,,,,,,,,,,,,,,
 Colorado ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Denver  , DEN ," 1,410 ", 623 , 97 ," 6,376 ", 205 ," 1,993 ", 101 ," 2,102 ", 111 , 204 , 13 ," 1,514 ", 19 , 30 , 10 , 140 ," 1,745 "," 2,850 ", 221 ," 10,132 ",,,,,,,,,,,,,,,,,,,
 Connecticut ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Hartford  , HAR ," 1,001 ", 547 , 103 ," 4,069 ", 256 ," 1,136 ", 53 ," 2,118 ", 51 , 366 , 22 , 374 , 41 , 54 , D , 121 ," 1,349 "," 2,103 ", 180 ," 6,682 ",,,,,,,,,,,,,,,,,,,
Delaware,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
,Dover, DVD , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
 District of Columbia ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Washington  , WAS ," 1,611 ", 791 , 142 ," 7,708 ", 416 , 629 , 69 ," 2,787 ", 193 , 95 , 10 , 116 , 98 , 168 , 11 , 877 ," 2,318 "," 1,683 ", 232 ," 11,488 ",,,,,,,,,,,,,,,,,,,
 Florida ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Hialeah , HIA , 803 , 622 , 101 ," 3,256 ", 160 ," 1,891 ", 112 ," 1,477 "," 1,521 "," 1,949 ", 139 ," 2,170 ", 14 , 19 , 21 , 58 ," 2,498 "," 4,481 ", 373 ," 6,961 ",,,,,,,,,,,,,,,,,,,
, Jacksonville , JAC , 602 , 73 , 53 ," 2,805 ", 171 , 500 , 41 ," 1,095 ", 136 , 67 , 25 , 184 , D , 12 , D , 37 , 918 , 652 , 125 ," 4,121 ",,,,,,,,,,,,,,,,,,,
, Kendall , KND , 656 , 497 , 74 ," 3,501 ", 71 ," 1,636 ", 82 ," 1,372 "," 1,560 ", 931 , 86 ," 6,729 ", D , D , D , 36 ," 2,290 "," 3,069 ", 248 ," 11,638 ",,,,,,,,,,,,,,,,,,,
, Miami  , MIA ," 1,191 ", 370 , 98 ," 5,283 ", 228 ," 1,260 ", 49 ," 2,299 ", 860 , 490 , 43 ," 2,166 ", 26 , 25 , 20 , 125 ," 2,305 "," 2,145 ", 210 ," 9,873 ",,,,,,,,,,,,,,,,,,,
, Fort Myers , OFM , 486 , 108 , 59 ," 2,290 ", 34 , 417 , D ," 1,092 ", 359 , 98 , 12 , 432 , D , D , D , 16 , 884 , 630 , 81 ," 3,830 ",,,,,,,,,,,,,,,,,,,
, Oakland Park , OKL ," 1,526 ", 813 , 155 ," 6,312 ", 210 , 766 , 47 ," 1,757 ", 190 , 466 , 41 , 381 , 11 , 24 , 15 , 43 ," 1,937 "," 2,069 ", 258 ," 8,493 ",,,,,,,,,,,,,,,,,,,
, Orlando  , ORL ," 1,741 ", 918 , 204 ," 7,289 ", 363 ," 1,218 ", 117 ," 2,879 ", 279 , 134 , 18 , 604 , 51 , 31 , 49 , 54 ," 2,434 "," 2,301 ", 388 ," 10,826 ",,,,,,,,,,,,,,,,,,,
, Tampa  , TAM ," 1,296 ", 608 , 155 ," 5,128 ", 204 ," 1,294 ", 47 ," 2,077 ", 812 , 760 , 132 , 907 , 23 , 45 , D , 125 ," 2,335 "," 2,707 ", 339 ," 8,237 ",,,,,,,,,,,,,,,,,,,
, West Palm Beach , WPB ," 1,066 ", 358 , 95 ," 4,598 ", 152 ," 1,427 ", 41 ," 2,048 ", 257 , 581 , 23 , 919 , 12 , 13 , D , 83 ," 1,487 "," 2,379 ", 165 ," 7,648 ",,,,,,,,,,,,,,,,,,,
 Georgia ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Atlanta  , ATL ," 2,255 ", 491 , 243 ," 12,411 ", 687 , 740 , 51 ," 3,783 ", 137 , 109 , D , 215 , 24 , 88 , D , 352 ," 3,103 "," 1,428 ", 303 ," 16,761 ",,,,,,,,,,,,,,,,,,,
 Hawaii ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Honolulu  , HHW , 269 , 101 , 25 ," 1,249 ", 31 , 19 , D , 66 , 22 , -   , -   , 25 , -   , 12 , -   , D , 322 , 132 , 29 ," 1,346 ",,,,,,,,,,,,,,,,,,,
 Idaho ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Boise  , BOI , 191 , 431 , 17 , 948 , 29 , 64 , D , 119 , 22 , 72 , D , 18 , -   , D , -   , 11 , 242 , 571 , 26 ," 1,096 ",,,,,,,,,,,,,,,,,,,
 Illinois ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Chicago  , CHI ," 3,266 ", 454 , 123 ," 18,428 ", 635 , 488 , 46 ," 2,559 ", 245 , 20 , D , 288 , 31 , 56 , 16 , 171 ," 4,177 "," 1,018 ", 189 ," 21,446 ",,,,,,,,,,,,,,,,,,,
 Indiana ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Indianapolis  , INP , 663 , 130 , 75 ," 3,544 ", 194 , 960 , 34 ," 1,585 ", 118 , 348 , D , 303 , 12 , 22 , -   , 103 , 987 ," 1,460 ", 114 ," 5,535 ",,,,,,,,,,,,,,,,,,,
 Iowa ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Des Moines , DSM , 151 , 104 , D ," 1,040 ", 137 , 482 , 23 , 606 , 82 , 13 , D , 83 , D , 18 , D , 66 , 373 , 617 , 36 ," 1,795 ",,,,,,,,,,,,,,,,,,,
 Kansas ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Wichita , WIC , 186 , 88 , 25 , 946 , 18 , 155 , 23 , 135 , 13 , 17 , -   , 95 , D , D , -   , 10 , 218 , 263 , 48 ," 1,186 ",,,,,,,,,,,,,,,,,,,
 Kentucky ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Louisville  , LOU , 318 , 146 , 29 ," 1,388 ", 94 , 936 , 43 ," 1,319 ", 297 , 300 , 96 , 247 , 19 , 24 , D , 155 , 728 ," 1,406 ", 170 ," 3,109 ",,,,,,,,,,,,,,,,,,,
 Louisiana ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, New Orleans  , NOL , 427 , 137 , 31 ," 2,103 ", 98 , 161 , 15 , 767 , 82 , 195 , D , 173 , 26 , 91 , D , 767 , 633 , 584 , 54 ," 3,810 ",,,,,,,,,,,,,,,,,,,
 Maine ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Portland  , POM , 86 , 40 , D , 430 , 29 , 42 , 10 , 256 , 17 , -   , -   , 37 , 14 , D , D , 40 , 146 , 89 , 21 , 763 ,,,,,,,,,,,,,,,,,,,
 Maryland ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Baltimore  , BAL ," 1,788 ", 455 , 251 ," 10,964 ", 409 , 417 , 43 ," 2,031 ", 234 , 102 , 13 , 242 , 123 , 229 , 32 ," 1,839 "," 2,554 "," 1,203 ", 339 ," 15,076 ",,,,,,,,,,,,,,,,,,,
 Massachusetts ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Boston  , BOS ," 1,616 ", 503 , 223 ," 7,136 ", 649 ," 1,325 ", 51 ," 4,023 ", 87 , 180 , 18 , 183 , 258 , 270 , D , 606 ," 2,610 "," 2,278 ", 297 ," 11,948 ",,,,,,,,,,,,,,,,,,,
, Lawrence , LAW , 867 , 285 , 69 ," 3,217 ", 257 , 611 , 10 ," 1,330 ", 55 , 136 , 14 , 41 , 49 , 73 , D , 108 ," 1,228 "," 1,105 ", 98 ," 4,696 ",,,,,,,,,,,,,,,,,,,
 Michigan ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Detroit  , DET ," 1,025 ", 133 , 43 ," 4,427 ", 470 ," 1,152 ", 57 ," 2,569 ", 168 , 56 , D , 131 , 12 , 10 , D , 80 ," 1,675 "," 1,351 ", 110 ," 7,207 ",,,,,,,,,,,,,,,,,,,
 Minnesota ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, St. Paul  , SPM , 760 , 51 , 43 ," 4,396 ", 282 ," 1,972 ", 57 ," 1,925 ", 100 , 18 , D , 162 , 12 , 37 , D , 277 ," 1,154 "," 2,078 ", 109 ," 6,760 ",,,,,,,,,,,,,,,,,,,
 Missouri ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Kansas City  , KAN , 504 , 66 , 27 ," 2,162 ", 127 ," 1,035 ", 36 ," 1,388 ", 76 , 452 , 26 , 535 , 13 , 23 , -   , 75 , 720 ," 1,576 ", 89 ," 4,160 ",,,,,,,,,,,,,,,,,,,
, St. Louis  , STL , 282 , 120 , 19 , 993 , 230 , 764 , 54 ," 1,330 ", 42 , 27 , D , 14 , D , 16 , D , 29 , 560 , 927 , 81 ," 2,366 ",,,,,,,,,,,,,,,,,,,
 Montana ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Helena  , HEL , 37 , 51 , D , 269 , D , 45 , D , 21 , D , D , D , 44 , D , D , -   , D , 50 , 105 , 10 , 336 ,,,,,,,,,,,,,,,,,,,
 Nebraska ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Omaha  , OMA , 296 , 22 , 16 ," 1,553 ", 91 , 536 , 27 , 689 , 118 , 198 , D , 403 , D , 28 , D , 175 , 514 , 784 , 51 ," 2,820 ",,,,,,,,,,,,,,,,,,,
 Nevada ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Las Vegas  , LVG , 893 , 99 , 52 ," 4,155 ", 51 ," 1,371 ", 52 ," 1,621 ", 239 , 71 , 20 , 532 , D , 16 , D , 75 ," 1,192 "," 1,557 ", 128 ," 6,383 ",,,,,,,,,,,,,,,,,,,
, Reno  , REN , 132 , 13 , 11 , 738 , 21 , 481 , 10 , 491 , D , 45 , D , 253 , -   , D , -   , 17 , 156 , 542 , 22 ," 1,499 ",,,,,,,,,,,,,,,,,,,
 New Hampshire ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Manchester  , MAN , 174 , 114 , 12 , 568 , 61 , 254 , D , 541 , 13 , 115 , D , 64 , -   , D , D , D , 248 , 486 , 17 ," 1,175 ",,,,,,,,,,,,,,,,,,,
