Number of I-485 Applications to Register Permanent Residence or Adjust Status,,,,,,,,,,,,,,,,,,,,,,
"By Category, Case Status, and USCIS Field Office or Service Center Location",,,,,,,,,,,,,,,,,,,,,,
"January 1, 2023 - March 31, 2023",,,,,,,,,,,,,,,,,,,,,,
,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,
,,,Family-based1,,,, Employment-based received at service center2,,,,Humanitarian-based3,,,,Others4,,,, Total ,,,
 USCIS Field Office or Service Center Location ,,,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8
 Total ,,,"95,800","97,768","6,537","489,835","34,584","33,932","3,528","202,006","34,705","20,115","1,456","113,922","9,879","7,682",668,"46,165","174,968","159,497","12,189","851,928"
, Kendall , KND ,660,860,35,"3,994",87,736,39,"1,065","4,467","1,910",86,"7,752", D , -   , D ,24,"5,219","3,506",163,"12,835"
, Miami  , MIA ,"1,196",457,75,"5,115",312,397,45,"1,297","2,241",357,91,"4,014",14, D , D ,102,"3,763","1,217",216,"10,528"
, Fort Myers , OFM ,"2,668","2,814",232,"2,933",569,"1,111",110,425,416,182,33,"1,588",23,31, D ,15,"3,676","4,138",383,"4,961"
, Oakland Park , OKL ,597,832,20,"7,882",111,163, D ,"1,437",91,14, D ,"1,920",163,16, -   ,31,962,"1,025",32,"11,270"
, Orlando  , ORL ,307,230,30,"8,253",90,88, D ,"3,283",260,109,13,"1,897",146,92, D ,35,803,519,54,"13,468"
, Tampa  , TAM ,360,593,12,"6,347",220,171,11,"2,849",96, D , D ,"4,331",38, D , -   ,127,714,776,25,"13,654"
, West Palm Beach , WPB ,175,274,13,"5,093",19,27, -   ,"1,165",68,32, D ,"1,639",40,42, D ,43,302,375,15,"7,940"
 Georgia ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Atlanta  , ATL ,"2,314","1,409",230,"13,973",466,365,23,"4,028",352,45,14,"1,317",66,50, D ,314,"3,198","1,869",276,"19,632"
 Hawaii ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Honolulu  , HHW ,260,413,20,"1,436",36,164,12,587,42, D , -   ,147, D , -   , D , D ,341,578,33,"2,179"
 Idaho ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Boise  , BOI ,196,673,20,764,43,505,25,"1,023",92,433, D ,453,22,12, -   ,38,353,"1,623",53,"2,278"
 Illinois ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Chicago  , CHI ,"3,122","4,384",133,"20,374",576,793,25,"4,653",470,62, D ,"2,211",82, D , D ,424,"4,250","5,248",163,"27,662"
 Indiana ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Indianapolis  , INP ,743,727,69,"4,258",168,598,13,"1,239",296,282,18,"1,610",35,14, D ,132,"1,242","1,621",101,"7,239"
 Iowa ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Des Moines , DSM ,221,314,11,"1,391",105,50, D ,548,110,19, D ,820,98,88, D ,166,534,471,28,"2,925"
 Kansas ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Wichita , WIC ,"1,637","1,161",72,797,355,228,36,126,408,79, D ,218,249,206,11,140,"2,649","1,674",125,"1,281"
 Kentucky ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Louisville  , LOU ,318,779,28,"1,856",103,278,37,968,728,231,20,"2,030",29,36, D ,153,"1,178","1,324",86,"5,007"
 Louisiana ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, New Orleans  , NOL ,"1,146", D ,12,"1,967",306,75,21,"1,065",112, D , -   ,585, D , -   , -   ,23,"1,573",83,33,"3,640"
 Maine ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Portland  , POM ,307,569,52,725,139,163,21,412,93,143,13,337,31,26, D ,23,570,901,88,"1,497"
 Maryland ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Baltimore  , BAL ,"1,891","2,253",116,"10,760",507,256,35,"3,245",437,170, D ,"2,507",145,245,13,815,"2,980","2,924",169,"17,327"
 Massachusetts ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Boston  , BOS ,"1,723","2,212",226,"7,240",901,879,74,"3,442",156,159, D ,"1,020",41,16, D ,128,"2,821","3,266",307,"11,830"
, Lawrence , LAW ,832,"1,036",45,"3,560",231,230,25,"1,650",100,70, D ,618,25,82, D ,70,"1,188","1,418",77,"5,898"
 Michigan ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Detroit  , DET ,933,"2,230",47,"5,376",452,402,27,"2,488",346,85,13,"1,575",64, D , D ,198,"1,795","2,726",91,"9,637"
 Minnesota ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, St. Paul  , SPM ,"1,250","3,144",73,"3,200","1,137","1,460",40,"2,417",194,389, D ,"1,517",21, D , -   ,363,"2,602","4,996",116,"7,497"
 Missouri ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Kansas City  , KAN ,551,827,20,"3,353",134,115,11,"1,169",167,123,17,741,40,48, D ,147,892,"1,113",49,"5,410"
, St. Louis  , STL ,59,280, D ,"1,432",22,63,10,"1,308",25,43, D ,391,20, D , -   ,163,126,393,15,"3,294"
 Montana ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
