Number of Form N-400 Application for Naturalization,,,,,,,,,,,,,,
"By Category of Naturalization, Case Status, and USCIS Field Office Location",,,,,,,,,,,,,,
"January 1, 2023 - March 31, 2023",,,,,,,,,,,,,,
,,,           Applications by Category and Case Status ,,,,,,,,,,,
,,,               Naturalization1,,,,   Naturalization (Military)1,,,,                    Total ,,,
 USCIS Field Office Location ,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
 TOTAL ,,,"217,159","214,040","27,065","452,018","3,323","2,987",396,"6,858","220,482","217,027","27,461","458,876"
Field Office by State6,, Field Office Code ,,,,,,,,,,,,
 Iowa ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Des Moines , DSM ,"1,012",832,136,"2,362", D , D , -   ,20,"1,020",840,136,"2,382"
 Kansas ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Wichita , WIC ,380,436,37,829, -   , D , D ,11,380,440,38,840
 Kentucky ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Louisville  , LOU ,"1,398","1,086",232,"2,199",24,30, D ,105,"1,422","1,116",235,"2,304"
 Louisiana ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, New Orleans  , NOL ,"1,000",686,86,"3,939",40,33, D ,102,"1,040",719,90,"4,041"
 Maine ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Portland  , POM ,266,297,46,689, D , D , D , D ,272,303,48,693
 Maryland ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Baltimore  , BAL ,"5,183","4,722",382,"12,081",111,71,11,180,"5,294","4,793",393,"12,261"
 Massachusetts ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Boston  , BOS ,"4,347","4,714",513,"8,654",29,28, -   ,54,"4,376","4,742",513,"8,708"
, Lawrence , LAW ,"2,270","1,674",257,"5,833",16,18, D ,42,"2,286","1,692",258,"5,875"
 Michigan ,,,,,,,,,,,,,,
, Detroit  , DET ,"4,050","4,084",500,"9,312",12,18, -   ,28,"4,062","4,102",500,"9,340"
 Minnesota ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, St. Paul  , SPM ,"3,615","6,107",627,"11,158",43,38, D ,64,"3,658","6,145",635,"11,222"
 Missouri ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Kansas City  , KAN ,"1,221","1,242",134,"2,192",103,137,10,240,"1,324","1,379",144,"2,432"
, St. Louis  , STL ,"1,100","1,164",72,"3,313",17, D , D ,33,"1,117","1,172",75,"3,346"
 Montana ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Helena  , HEL ,124,114, D ,194, -   , D , -   , D ,124,119, D ,197
 Nebraska ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Omaha  , OMA ,"1,392","1,557",485,"2,678", D ,11, D ,36,"1,401","1,568",487,"2,714"
 Nevada ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Las Vegas  , LVG ,"2,128","3,023",446,"4,220",16,24, D ,59,"2,144","3,047",453,"4,279"
, Reno  , REN ,348,409,35,728, -   , D , -   , D ,348,410,35,734
 New Hampshire ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Manchester  , MAN ,466,444,48,759, D , D , D , D ,468,446,51,761
 New Jersey ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Mount Laurel , MTL ,"2,255","1,850",360,"4,791",32,24, D ,42,"2,287","1,874",367,"4,833"
, Newark  , NEW ,"9,262","8,471","1,131","20,526",65,61, D ,124,"9,327","8,532","1,136","20,650"
 New Mexico ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Albuquerque  , ABQ ,479,384,12,759, -   , D , -   , D ,479,386,12,767
 New York ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Albany  , ALB ,"1,079","1,124",121,"2,762",13,10, -   ,16,"1,092","1,134",121,"2,778"
, Brooklyn , BNY ,"5,425","5,548","1,109","11,614",36,36, D ,96,"5,461","5,584","1,113","11,710"
, Buffalo  , BUF ,"1,857","1,380",230,"3,855",34,56, D ,92,"1,891","1,436",237,"3,947"
, Long Island , LNY ,"3,351","3,538",591,"6,043",26,13, D ,73,"3,377","3,551",593,"6,116"
