,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of I-485 Applications to Register Permanent Residence or Adjust Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"By Category, Case Status, and USCIS Field Office or Service Center Location",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"October 1, 2021 - December 31, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,                    Family-based1,,,                       Employment-based received at service center2,,,,,              Humanitarian-based3,,,,                        Others4,,,,                          Total ,,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,,,,,,,,,,,,,,,,,,,
   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 TOTAL ,,,"73,795","68,273","10,063","354,751","43,524","33,619","1,866","253,068","11,307","6,203",894,"131,395","10,244","6,591",887,"50,255","138,870","114,686","13,710","789,469",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Office by State9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Alabama ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Montgomery , MGA , 469 , 473 , 86 ," 2,601 ", 123 , 195 , D , 341 , 26 , 39 , -   , 186 , 40 , 17 , -   , 134 , 658 , 724 , 90 ," 3,262 ",,,,,,,,,,,,,,,,,,,
 Alaska ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Anchorage  , ANC , 86 , 18 , D , 419 , D , 18 , -   , 36 , 10 , -   , -   , 48 , D , -   , -   , D , 104 , 36 , D , 507 ,,,,,,,,,,,,,,,,,,,
 Arizona ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Phoenix  , PHO ," 1,191 "," 1,211 ", 151 ," 3,955 ", 302 , 63 , D , 571 , 138 , 20 , D ," 1,010 ", 20 , 15 , D , 72 ," 1,651 "," 1,309 ", 169 ," 5,608 ",,,,,,,,,,,,,,,,,,,
, Tucson , TUC , 369 , 494 , 49 ," 1,260 ", 67 , 184 , D , 372 , 26 , D , -   , 366 , D , D , -   , 14 , 464 , 686 , 54 ," 2,012 ",,,,,,,,,,,,,,,,,,,
 Arkansas ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
