Number of Form N-400 Application for Naturalization,,,,,,,,,,,,,
"By Category of Naturalization, Case Status, and USCIS Field Office Location",,,,,,,,,,,,,
"July 1, 2023 - September 30, 2023",,,,,,,,,,,,,
,,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status
USCIS Field Office Location,USCIS Field Office Location,Naturalization1,Naturalization1,Naturalization1,Naturalization1,Naturalization (Military)1,Naturalization (Military)1,Naturalization (Military)1,Naturalization (Military)1, Total , Total , Total , Total 
Field Office by State6,Field Office Code,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
Maine,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Portland ,POM,285,438,40,393, D , D , -   ,10,286,439,40,403
Maryland,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Baltimore ,BAL,"4,850","7,123",488,"10,469",70,59, D ,115,"4,920","7,182",497,"10,584"
Massachusetts,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Boston ,BOS,"4,093","4,382",312,"7,708",28,30, D ,32,"4,121","4,412",313,"7,740"
Lawrence,LAW,"2,237","3,023",290,"5,144",16,22, D ,16,"2,253","3,045",296,"5,160"
Michigan,,,,,,,,,,,,,
Detroit ,DET,"4,263","4,543",568,"6,990", D ,10, D ,31,"4,269","4,553",570,"7,021"
Minnesota,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
St. Paul ,SPM,"3,624","6,007",378,"5,057",36,34, D ,64,"3,660","6,041",383,"5,121"
Missouri,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Kansas City ,KAN,"1,260","1,186",131,"2,019",112,136,29,151,"1,372","1,322",160,"2,170"
St. Louis ,STL,"1,060","1,641",76,"2,083",15,11, D ,32,"1,075","1,652",79,"2,115"
Montana,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Helena ,HEL,115,87, D ,216, D , D , -   , D ,118,89, D ,219
Nebraska,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Omaha ,OMA,"1,287","1,263",322,"1,896",14,12, D ,27,"1,301","1,275",328,"1,923"
Nevada,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Las Vegas ,LVG,"2,050","2,107",318,"3,669",22, D , D ,55,"2,072","2,115",321,"3,724"
Reno ,REN,317,419,20,576, D , -   , -   , D ,320,419,20,582
New Hampshire,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Manchester ,MAN,405,481,30,759, D , D , -   , D ,408,487,30,761
New Jersey,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Mount Laurel,MTL,"1,797","1,745",246,"4,730",20,18, D ,47,"1,817","1,763",248,"4,777"
Newark ,NEW,"5,604","6,414",692,"15,129",40,19, -   ,84,"5,644","6,433",692,"15,213"
New Mexico,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Albuquerque ,ABQ,516,486,28,737,16, D , D ,13,532,493,30,750
New York,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Albany ,ALB,"1,032","1,829",189,"1,891",20, D , D ,16,"1,052","1,837",192,"1,907"
Brooklyn,BNY,"5,612","5,246",778,"11,356",37,16, D ,80,"5,649","5,262",782,"11,436"
Buffalo ,BUF,"1,605","1,377",159,"4,434",47,31,11,103,"1,652","1,408",170,"4,537"
Long Island,LNY,"3,072","2,206",422,"7,654",33, D , -   ,81,"3,105","2,215",422,"7,735"
New York ,NYC,"6,460","5,892",955,"13,357",53,24, D ,35,"6,513","5,916",958,"13,392"
Queens,QNS,"5,604","6,518",915,"11,726",42,17, D ,41,"5,646","6,535",917,"11,767"
North Carolina,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Charlotte ,CLT,"2,317","3,631",356,"4,571",15,11, D ,25,"2,332","3,642",358,"4,596"
Raleigh,RAL,"1,985","4,886",175,"3,490",198,159,10,223,"2,183","5,045",185,"3,713"
Ohio,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Cincinnati ,CIN,973,"1,042",86,"1,303",15, D , D ,26,988,"1,048",87,"1,329"
Cleveland ,CLE,"1,130","1,310",100,"1,627", D , D , D ,29,"1,136","1,315",101,"1,656"
Columbus,CLM,"1,461","1,515",151,"2,193",20,21, D ,32,"1,481","1,536",152,"2,225"
Oklahoma,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Oklahoma City ,OKC,"1,279","1,118",166,"1,911",206,123, D ,389,"1,485","1,241",173,"2,300"
Oregon,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Portland ,POO,"2,000","2,311",103,"3,163", D , D , D ,18,"2,009","2,316",105,"3,181"
Pennsylvania,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Philadelphia,PHI,"5,698","5,943",650,"9,777",37,35, D ,81,"5,735","5,978",656,"9,858"
Pittsburgh ,PIT,708,708,83,989, D , D , D , D ,711,712,84,998
Rhode Island,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Providence ,PRO,826,921,99,"1,635", D , D , D ,15,832,925,100,"1,650"
South Carolina,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Charleston ,CHL,683,535,62,"2,624",55,38,16,123,738,573,78,"2,747"
Greer,GRR,560,590,45,"1,029",345,328,13,759,905,918,58,"1,788"
Tennessee,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Memphis ,MEM,645,778,110,"1,314", D ,13, D , D ,648,791,112,"1,322"
Nashville,NTN,"1,489","1,530",190,"4,722",37,46, D ,91,"1,526","1,576",195,"4,813"
Texas,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Dallas ,DAL,"7,856","6,561",614,"13,097",72,28, -   ,98,"7,928","6,589",614,"13,195"
El Paso ,ELP,"1,383","1,503",134,"1,963",68,113, D ,156,"1,451","1,616",137,"2,119"
Harlingen ,HLG,865,795,91,"1,350", D , D , D , D ,868,797,94,"1,358"
Houston ,HOU,"8,214","8,585",673,"12,388",27,25, D ,98,"8,241","8,610",680,"12,486"
San Antonio ,SNA,"4,210","5,966",332,"7,498",410,521,36,460,"4,620","6,487",368,"7,958"
Utah,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Salt Lake City ,SLC,"1,312","1,428",136,"2,477", D ,10, -   ,27,"1,318","1,438",136,"2,504"
Vermont,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
St. Albans ,STA,171,202,12,300, -   , D , -   , D ,171,204,12,304
Virginia,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Norfolk ,NOR,"1,406","2,159",141,"3,917",222,83,22,748,"1,628","2,242",163,"4,665"
