Number of I-485 Applications to Register Permanent Residence or Adjust Status,,,,,,,,,,,,,,,,,,,,,
"By Category, Case Status, and USCIS Field Office or Service Center Location",,,,,,,,,,,,,,,,,,,,,
"July 1, 2023 - September 30, 2023",,,,,,,,,,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,Applications by Category of Admission and Case Status,,,,,,,,,,,,,,,,Total,,,
,,Family-based1,,,,Employment-based received at service center2,,,,Humanitarian-based3,,,,Others4,,,,,,,
Field Office by State9,Field Office Code,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6, Denied7, Pending8
Chicago ,CHI,"3,555","3,381",200,"19,283",229,844,47,"4,106",828,42, D ,"2,452",112,190,12,347,"4,724","4,457",263,"26,188"
Indiana,,,,,,,,,,,,,,,,,,,,,
Indianapolis ,INP,791,761,157,"3,198",94,268,15,"1,079",491,380,23,"1,802",56,12, D ,201,"1,432","1,421",197,"6,280"
Iowa,,,,,,,,,,,,,,,,,,,,,
Des Moines,DSM,249,188,16,935,81,31, D ,532,282,46, D ,718,105,21, D ,279,717,286,22,"2,464"
Kansas,,,,,,,,,,,,,,,,,,,,,
Wichita,WIC,265,188,23,912,16,15, D ,127,161, D , D ,372,129,24, - ,208,571,232,36,"1,619"
Kentucky,,,,,,,,,,,,,,,,,,,,,
Louisville ,LOU,362,609,53,"1,538",46,381,39,800,"2,584","1,211",47,"4,369",54,36, D ,209,"3,046","2,237",141,"6,916"
Louisiana,,,,,,,,,,,,,,,,,,,,,
New Orleans ,NOL,464,155,27,"2,186",78,93,14,977,234,21, D ,730, D , D , D ,20,780,274,46,"3,913"
Maine,,,,,,,,,,,,,,,,,,,,,
Portland ,POM,109,174,12,449,18,75, D ,168,99,109, D ,485, D , D , D ,31,234,361,18,"1,133"
Maryland,,,,,,,,,,,,,,,,,,,,,
Baltimore ,BAL,"2,088",352,110,"12,773",226,216,78,"3,195",833,42, D ,"2,712",78,51,24,756,"3,225",661,218,"19,436"
Massachusetts,,,,,,,,,,,,,,,,,,,,,
Boston ,BOS,"1,867","1,761",187,"6,490",327,367,68,"2,927",288,449,28,"1,234",24,27, D ,101,"2,506","2,604",286,"10,752"
Lawrence,LAW,909,"1,009",80,"3,174",96,181,15,"1,660",205,484,20,706,78,38, D ,224,"1,288","1,712",116,"5,764"
Michigan,,,,,,,,,,,,,,,,,,,,,
Detroit ,DET,"1,093","1,544",92,"3,881",175,287,14,"2,692",835,122, D ,"2,029",148,42, D ,432,"2,251","1,995",123,"9,034"
Minnesota,,,,,,,,,,,,,,,,,,,,,
St. Paul ,SPM,971,304,52,"4,011",149,"1,290",68,"2,447",384,14, D ,"1,330",111,57,10,378,"1,615","1,665",132,"8,166"
Missouri,,,,,,,,,,,,,,,,,,,,,
Kansas City ,KAN,541,425,61,"3,165",50,126,22,"1,165",366,42, D ,"1,179",79,52, D ,170,"1,036",645,94,"5,679"
St. Louis ,STL,410,168,21,"1,191",89,81, D ,"1,373",92,21, D ,355,31, D , D ,272,622,275,35,"3,191"
Montana,,,,,,,,,,,,,,,,,,,,,
Helena ,HEL,80,59, D ,277, - , D , - ,25,34, - , - ,55,24, D , - ,27,138,71, D ,384
Nebraska,,,,,,,,,,,,,,,,,,,,,
Omaha ,OMA,295,295,27,"1,479",53,68, D ,474,814,104,17,"1,505",208,78, D ,425,"1,370",545,52,"3,883"
Nevada,,,,,,,,,,,,,,,,,,,,,
Las Vegas ,LVG,964,976,104,"4,177",39,65, D ,345,"1,701",230,35,"3,552", D , D , D ,43,"2,709","1,275",154,"8,117"
Reno ,REN,216,499,25,"1,217", D ,27, D ,108,24, D , - ,91, D , D , - , D ,252,538,29,"1,422"
New Hampshire,,,,,,,,,,,,,,,,,,,,,
Manchester ,MAN,162,272,25,644,46,117, D ,434,48,144, - ,440,12, D , - ,15,268,535,32,"1,533"
New Jersey,,,,,,,,,,,,,,,,,,,,,
Mount Laurel,MTL,816,851,92,"3,650",82,195,10,"1,334",120,165,12,659, D ,14, D ,30,"1,027","1,225",116,"5,673"
Newark ,NEW,"2,696","1,787",247,"10,728",264,438,47,"2,766",867,584,122,"2,270",19,43,26,119,"3,846","2,852",442,"15,883"
New Jersey Central,NJC,"1,213",750,67,"4,584",182,181,14,"3,942",212,285,10,782,12, D , - ,20,"1,619","1,218",91,"9,328"
New Mexico,,,,,,,,,,,,,,,,,,,,,
Albuquerque ,ABQ,361,604,29,"1,277",21,242,11,422,153,38, D ,476,14, D , D ,50,549,888,53,"2,225"
New York,,,,,,,,,,,,,,,,,,,,,
Albany ,ALB,423,170,60,"1,548",19,207,22,579,112,148,10,576,15,15, - ,80,569,540,92,"2,783"
Brooklyn,BNY,"2,256","1,793",313,"11,219",189,247,70,"1,037",917,98,12,"3,023",20,25,25,111,"3,382","2,163",420,"15,390"
Buffalo ,BUF,421,667,30,"1,468",68,124, D ,632,543,374,38,"1,865",62,62, D ,297,"1,094","1,227",81,"4,262"
Long Island,LNY,"1,499","1,731",191,"5,702",219,266,40,"1,407",376,62, D ,"1,191", D , D , D ,39,"2,103","2,063",246,"8,339"
New York ,NYC,"2,897","2,590",527,"12,305",376,377,56,"2,264",704,134,32,"2,355", D ,21,14,229,"3,985","3,122",629,"17,153"
Queens,QNS,"2,382","1,385",308,"11,952",168,206,40,"1,132","1,255",144,25,"3,712",33,12,21,184,"3,838","1,747",394,"16,980"
North Carolina,,,,,,,,,,,,,,,,,,,,,
Charlotte ,CLT,"1,143",712,97,"5,388",103,73, D ,"1,923",508,65, D ,"1,113",48,32, - ,89,"1,802",882,108,"8,513"
