,,,,,,,,,,,,,,,,
Number of Form N-400 Application for Naturalization,,,,,,,,,,,,,,,,
"By Category of Naturalization, Case Status, and USCIS Field Office Location",,,,,,,,,,,,,,,,
"April 1, 2022 - June 30, 2022",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,           Applications by Category and Case Status ,,,,,,,,,
,,,,               Naturalization1,,,,   Naturalization (Military)1,,,,                    Total ,,,,
 USCIS Field Office Location ,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,,
,,,,,,,,,,,,,,,,
 TOTAL ,,," 196,952 "," 245,528 "," 26,371 "," 666,473 "," 2,432 "," 2,531 ", 203 ," 6,312 "," 199,384 "," 248,059 "," 26,574 "," 672,785 ",,
Field Office by State6,, Field Office Code ,,,,,,,,,,,,,,
 Alabama ,,,,,,,,,,,,,,,,
, Miami  , MIA ," 3,165 "," 3,506 ", 593 ," 8,846 ", 12 , D , -   , 21 ," 3,177 "," 3,514 ", 593 ," 8,867 ",,
, Oakland Park , OKL ," 3,162 "," 2,995 ", 408 ," 7,173 ", 20 , 15 , D , 34 ," 3,182 "," 3,010 ", 410 ," 7,207 ",,
, Orlando  , ORL ," 3,145 "," 3,058 ", 309 ," 10,275 ", 29 , 19 , D , 34 ," 3,174 "," 3,077 ", 313 ," 10,309 ",,
, Tampa  , TAM ," 3,736 "," 3,673 ", 527 ," 10,239 ", 17 , 14 , D , 24 ," 3,753 "," 3,687 ", 528 ," 10,263 ",,
, West Palm Beach , WPB ," 2,358 "," 2,866 ", 353 ," 7,064 ", 11 , 11 , D , 23 ," 2,369 "," 2,877 ", 354 ," 7,087 ",,
 Georgia ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Atlanta  , ATL ," 5,125 "," 8,992 ", 514 ," 18,028 ", 24 , 41 , D , 76 ," 5,149 "," 9,033 ", 517 ," 18,104 ",,
 Hawaii ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Honolulu  , HHW , 676 ," 1,157 ", 136 ," 2,143 ", 58 , 38 , D , 249 , 734 ," 1,195 ", 144 ," 2,392 ",,
 Idaho ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Boise  , BOI , 371 , 563 , 51 ," 1,348 ", D , D , -   , D , 373 , 566 , 51 ," 1,355 ",,
 Illinois ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Chicago  , CHI ," 6,202 "," 8,067 ", 894 ," 22,015 ", 218 , 86 , D , 417 ," 6,420 "," 8,153 ", 898 ," 22,432 ",,
 Indiana ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Indianapolis  , INP ," 1,762 "," 1,715 ", 203 ," 5,314 ", 23 , 10 , -   , 70 ," 1,785 "," 1,725 ", 203 ," 5,384 ",,
 Iowa ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Des Moines , DSM ," 1,003 "," 1,082 ", 152 ," 3,160 ", 11 , D , D , 27 ," 1,014 "," 1,089 ", 154 ," 3,187 ",,
 Kansas ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Wichita , WIC , 346 , 455 , 33 ," 1,069 ", D , 10 , -   , D , 349 , 465 , 33 ," 1,076 ",,
 Kentucky ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Louisville  , LOU ," 1,359 "," 1,437 ", 208 ," 3,258 ", 27 , 74 , D , 74 ," 1,386 "," 1,511 ", 209 ," 3,332 ",,
 Louisiana ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, New Orleans  , NOL , 934 ," 1,152 ", 74 ," 4,313 ", 36 , 56 , D , 80 , 970 ," 1,208 ", 80 ," 4,393 ",,
 Maine ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Portland  , POM , 285 , 189 , 14 ," 1,033 ", -   , D , -   , D , 285 , 191 , 14 ," 1,035 ",,
 Maryland ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Baltimore  , BAL ," 4,509 "," 5,613 ", 616 ," 15,872 ", 58 , 36 , D , 182 ," 4,567 "," 5,649 ", 621 ," 16,054 ",,
 Massachusetts ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Boston  , BOS ," 3,954 "," 4,180 ", 280 ," 13,433 ", 30 , 27 , D , 62 ," 3,984 "," 4,207 ", 282 ," 13,495 ",,
, Lawrence , LAW ," 2,129 "," 1,696 ", 216 ," 6,731 ", 12 , D , D , 34 ," 2,141 "," 1,705 ", 217 ," 6,765 ",,
 Michigan ,,,,,,,,,,,,,,,,
, Detroit  , DET ," 3,763 "," 4,662 ", 514 ," 12,742 ", D , D , -   , 39 ," 3,770 "," 4,664 ", 514 ," 12,781 ",,
 Minnesota ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, St. Paul  , SPM ," 3,477 "," 3,834 ", 523 ," 16,660 ", 28 , 31 , D , 70 ," 3,505 "," 3,865 ", 526 ," 16,730 ",,
 Missouri ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Kansas City  , KAN ," 1,047 "," 1,008 ", 83 ," 3,324 ", 48 , 44 , D , 121 ," 1,095 "," 1,052 ", 85 ," 3,445 ",,
, St. Louis  , STL , 914 , 809 , 85 ," 4,055 ", 12 , D , D , 34 , 926 , 818 , 86 ," 4,089 ",,
 Montana ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Helena  , HEL , 94 , 78 , D , 262 , D , D , -   , D , 95 , 81 , D , 270 ,,
 Nebraska ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Omaha  , OMA ," 1,352 "," 1,041 ", 139 ," 4,956 ", 10 , 15 , D , 29 ," 1,362 "," 1,056 ", 140 ," 4,985 ",,
 Nevada ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Las Vegas  , LVG ," 1,806 "," 2,832 ", 420 ," 8,247 ", 25 , 30 , D , 38 ," 1,831 "," 2,862 ", 423 ," 8,285 ",,
, Reno  , REN , 304 , 244 , 38 ," 1,052 ", D , D , -   , 12 , 307 , 247 , 38 ," 1,064 ",,
 New Hampshire ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Manchester  , MAN , 427 , 376 , 37 ," 1,031 ", D , D , D , 12 , 432 , 378 , 38 ," 1,043 ",,
 New Jersey ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Mount Laurel , MTL ," 1,888 "," 3,281 ", 265 ," 6,380 ", 10 , 15 , -   , 25 ," 1,898 "," 3,296 ", 265 ," 6,405 ",,
, Newark  , NEW ," 8,038 "," 11,262 "," 1,065 "," 27,793 ", 52 , 51 , D , 110 ," 8,090 "," 11,313 "," 1,069 "," 27,903 ",,
 New Mexico ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Albuquerque  , ABQ , 372 , 576 , 28 ," 1,032 ", D , 10 , -   , D , 374 , 586 , 28 ," 1,038 ",,
