,,,,,,,,,,,,,,,,
Number of Form N-400 Application for Naturalization,,,,,,,,,,,,,,,,
"By Category of Naturalization, Case Status, and USCIS Field Office Location",,,,,,,,,,,,,,,,
"January 1, 2022 - March 31, 2022",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,           Applications by Category and Case Status ,,,,,,,,,
,,,,               Naturalization1,,,,   Naturalization (Military)1,,,,                    Total ,,,,
 USCIS Field Office Location ,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,,
,,,,,,,,,,,,,,,,
 TOTAL ,,," 202,361 "," 221,013 "," 28,019 "," 745,710 "," 2,608 "," 2,882 ", 226 ," 6,055 "," 204,969 "," 223,895 "," 28,245 "," 751,765 ",,
,,,,,,,,,,,,,,,,
Field Office by State6,, Field Office Code ,,,,,,,,,,,,,,
 Alabama ,,,,,,,,,,,,,,,,
, Montgomery , MGA ," 1,012 "," 1,638 ", 92 ," 3,887 ", 70 , 41 , D , 124 ," 1,082 "," 1,679 ", 98 ," 4,011 ",,
 Alaska ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Anchorage  , ANC , 240 , 216 , 30 , 819 , 19 , 31 , D , 50 , 259 , 247 , 34 , 869 ,,
 Arizona ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Phoenix  , PHO ," 2,777 "," 2,910 ", 360 ," 7,869 ", 17 , D , D , 31 ," 2,794 "," 2,919 ", 362 ," 7,900 ",,
, Tucson , TUC , 618 , 607 , 98 ," 1,735 ", 10 , D , -   , 24 , 628 , 613 , 98 ," 1,759 ",,
 Arkansas ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Fort Smith  , FSA , 381 , 302 , 18 ," 1,148 ", D , D , D , D , 383 , 308 , 19 ," 1,155 ",,
 California ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Chula Vista , CVC , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
, Fresno  , FRE ," 2,080 "," 2,786 ", 342 ," 10,111 ", 16 , 20 , D , 43 ," 2,096 "," 2,806 ", 345 ," 10,154 ",,
, Imperial , IMP , 302 , 304 , 128 ," 1,182 ", D , D , -   , D , 303 , 311 , 128 ," 1,186 ",,
, Los Angeles  , LOS ," 4,077 "," 4,128 ", 665 ," 11,696 ", 14 , 18 , -   , 36 ," 4,091 "," 4,146 ", 665 ," 11,732 ",,
, Los Angeles County  , LAC ," 3,389 "," 3,410 ", 733 ," 10,457 ", 21 , 23 , D , 31 ," 3,410 "," 3,433 ", 734 ," 10,488 ",,
, Sacramento  , SAC ," 3,873 "," 3,438 ", 459 ," 19,481 ", 27 , 26 , D , 71 ," 3,900 "," 3,464 ", 461 ," 19,552 ",,
, San Bernardino , SBD ," 3,362 "," 4,536 ", 686 ," 12,732 ", 26 , 38 , D , 63 ," 3,388 "," 4,574 ", 688 ," 12,795 ",,
, San Diego  , SND ," 3,129 "," 3,706 ", 401 ," 11,963 ", 132 , 179 , D , 261 ," 3,261 "," 3,885 ", 410 ," 12,224 ",,
, San Fernando Valley , SFV ," 3,295 "," 3,700 ", 509 ," 8,618 ", 14 , 34 , D , 23 ," 3,309 "," 3,734 ", 510 ," 8,641 ",,
, San Francisco , SFR ," 5,703 "," 8,809 ", 353 ," 27,578 ", 25 , 33 , D , 60 ," 5,728 "," 8,842 ", 355 ," 27,638 ",,
, San Jose  , SNJ ," 3,160 "," 4,918 ", 420 ," 14,748 ", 18 , 11 , D , 49 ," 3,178 "," 4,929 ", 421 ," 14,797 ",,
, Santa Ana , SAA ," 3,507 "," 4,557 ", 539 ," 12,165 ", 21 , 17 , -   , 29 ," 3,528 "," 4,574 ", 539 ," 12,194 ",,
 Colorado ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Denver  , DEN ," 2,639 "," 2,109 ", 355 ," 7,645 ", 43 , 69 , D , 116 ," 2,682 "," 2,178 ", 362 ," 7,761 ",,
 Connecticut ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
