, Boston  , BOS ," 2,067 ", 880 , 267 ," 6,976 ", 435 , 706 , 38 ," 1,635 ", D , 15 , D , 63 , 38 , 63 , 12 , 172 ," 2,546 "," 1,664 ", 321 ," 8,846 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Lawrence , LAW , 707 , 497 , 101 ," 2,056 ", 114 , 138 , D , 561 , D , D , -   , 52 , D , 19 , D , 45 , 833 , 661 , 113 ," 2,714 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Michigan ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,
, Detroit  , DET , 960 , 514 , 94 ," 2,757 ", 450 , 783 , 20 ," 1,749 ", 60 , 96 , D , 196 , 12 , D , D , 44 ," 1,482 "," 1,401 ", 119 ," 4,746 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Minnesota ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,
, St. Paul  , SPM , 983 , 472 , 83 ," 4,983 ", 277 , 388 , D ," 1,408 ", 26 , 45 , D , 322 , 14 , 11 , D , 135 ," 1,300 ", 916 , 98 ," 6,848 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Missouri ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,
, Kansas City  , KAN , 473 , 449 , 81 ," 1,200 ", 83 , 161 , D , 336 , 46 , 68 , D , 76 , D , D , D , 19 , 606 , 686 , 97 ," 1,631 ",,,,,,,,,,,,,,,,,,,,,,,,,
, St. Louis  , STL , 219 , 243 , 35 , 856 , 107 , 127 , D , 497 , D , 18 , D , 50 , D , D , -   , 38 , 332 , 390 , 39 ," 1,441 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Montana ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,
, Helena  , HEL , 77 , 185 , 12 , 561 , 15 , 24 , D , 64 , -   , 14 , D , 48 , -   , D , D , D , 92 , 224 , 20 , 674 ,,,,,,,,,,,,,,,,,,,,,,,,,
 Nebraska ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,
, Omaha  , OMA , 289 , 160 , 44 , 920 , 55 , 88 , -   , 225 , 95 , 181 , 10 , 305 , D , D , D , 27 , 443 , 434 , 56 ," 1,477 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Nevada ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,
, Las Vegas  , LVG , 968 , 396 , 86 ," 4,436 ", 43 , 32 , D , 196 , 261 , 97 , 12 ," 1,149 ", 10 , 18 , D , 36 ," 1,282 ", 543 , 101 ," 5,817 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Reno  , REN , 146 , 225 , 30 , 520 , 23 , 14 , D , 106 , D , 85 , D , 136 , -   , D , -   , D , 172 , 326 , 34 , 764 ,,,,,,,,,,,,,,,,,,,,,,,,,
 New Hampshire ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,
, Manchester  , MAN , 156 , 110 , 17 , 399 , 29 , 44 , -   , 132 , D , D , -   , 16 , -   , -   , -   , D , 193 , 163 , 17 , 550 ,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,
, Mount Laurel , MTL , 751 , 318 , 128 ," 2,593 ", 135 , 160 , 11 , 583 , D , 34 , D , 115 , D , D , D , 21 , 899 , 518 , 143 ," 3,312 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Newark  , NEW ," 3,670 "," 3,087 ", 609 ," 14,104 "," 1,033 ", 946 , 78 ," 3,821 ", 118 , 175 , 10 , 493 , 53 , 25 , D , 201 ," 4,874 "," 4,233 ", 699 ," 18,619 ",,,,,,,,,,,,,,,,,,,,,,,,,
 New Mexico ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,
, Albuquerque  , ABQ , 330 , 445 , 17 , 813 , 53 , 62 , D , 183 , 22 , 86 , D , 60 , D , D , -   , D , 407 , 598 , 22 ," 1,062 ",,,,,,,,,,,,,,,,,,,,,,,,,
 New York ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,
, Albany  , ALB , 206 , 17 , D , 494 , 64 , D , D , 307 , D , D , D , 20 , D , -   , -   , D , 272 , 24 , 10 , 823 ,,,,,,,,,,,,,,,,,,,,,,,,,
, Brooklyn , BNY ," 2,495 "," 1,360 ", 351 ," 13,593 ", 167 , 373 , 11 , 831 , D , 35 , D , 383 , 67 , 104 , 15 , 360 ," 2,738 "," 1,872 ", 385 ," 15,167 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Buffalo  , BUF , 317 , 212 , 43 , 883 , 108 , 164 , D , 480 , 81 , 126 , D , 255 , D , D , D , 11 , 509 , 504 , 50 ," 1,629 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Long Island , LNY ," 1,128 "," 1,607 ", 292 ," 5,204 ", 114 , 146 , 12 , 503 , 10 , 17 , D , 90 , 32 , 56 , 51 , 522 ," 1,284 "," 1,826 ", 356 ," 6,319 ",,,,,,,,,,,,,,,,,,,,,,,,,
, New York  , NYC ," 3,378 "," 1,645 ", 498 ," 19,769 ", 473 ," 1,033 ", 24 ," 2,591 ", 20 , 64 , D , 624 , 107 , 126 , 10 , 739 ," 3,978 "," 2,868 ", 536 ," 23,723 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Queens , QNS ," 2,625 "," 1,648 ", 233 ," 12,461 ", 230 , 324 , 17 ," 1,091 ", 23 , 37 , 10 , 527 , 85 , 22 , D , 440 ," 2,963 "," 2,031 ", 266 ," 14,519 ",,,,,,,,,,,,,,,,,,,,,,,,,
 North Carolina ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,
, Charlotte  , CLT , 842 , 723 , 161 ," 2,432 ", 182 , 209 , D , 616 , 65 , 305 , D , 244 , D , D , D , 59 ," 1,096 "," 1,243 ", 178 ," 3,351 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Raleigh , RAL , 804 , 555 , 60 ," 2,145 ", 209 , 182 , 14 , 750 , 28 , 232 , D , 113 , 14 , 33 , D , 49 ," 1,055 "," 1,002 ", 76 ," 3,057 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Ohio ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,
, Cincinnati  , CIN , 258 , 163 , 23 , 795 , 75 , 73 , D , 413 , 12 , D , D , 25 , 12 , D , D , 41 , 357 , 250 , 30 ," 1,274 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Cleveland  , CLE , 387 , 351 , 68 , 883 , 118 , 220 , 14 , 467 , D , 24 , D , 30 , D , D , D , 19 , 514 , 601 , 92 ," 1,399 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Columbus , CLM , 387 , 312 , 36 ," 1,030 ", 140 , 164 , -   , 421 , 11 , 13 , D , 56 , D , D , D , 22 , 545 , 493 , 43 ," 1,529 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Oklahoma ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,
, Oklahoma City  , OKC , 508 , 548 , 45 ," 1,425 ", 76 , 131 , -   , 287 , D , 88 , D , 73 , D , D , D , 64 , 596 , 771 , 51 ," 1,849 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Oregon ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,
, Portland  , POO , 683 , 776 , 55 ," 2,000 ", 301 , 309 , 10 ," 1,089 ", 30 , 108 , D , 135 , 13 , D , -   , 20 ," 1,027 "," 1,200 ", 69 ," 3,244 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Pennsylvania ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,
, Philadelphia , PHI ," 1,785 ", 997 , 325 ," 7,410 ", 352 , 348 , 25 ," 1,444 ", 84 , 85 , D , 331 , 22 , 39 , D , 95 ," 2,243 "," 1,469 ", 357 ," 9,280 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Pittsburgh  , PIT , 281 , 173 , 20 , 814 , 135 , 175 , -   , 594 , 10 , D , D , 49 , D , D , -   , D , 429 , 359 , 21 ," 1,465 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Rhode Island ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,
, Providence  , PRO , 290 , 589 , 59 , 857 , 33 , 44 , D , 104 , D , 25 , D , 19 , D , 20 , D , 18 , 332 , 678 , 67 , 998 ,,,,,,,,,,,,,,,,,,,,,,,,,
 South Carolina ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,
, Charleston  , CHL , 404 , 529 , 49 ," 1,075 ", 43 , 115 , D , 215 , D , 717 , D , 173 , D , -   , -   , 11 , 457 ," 1,361 ", 58 ," 1,474 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Greer , GRR , 200 , 181 , 14 , 511 , 47 , 56 , D , 131 , D , D , -   , 11 , -   , D , -   , D , 255 , 242 , 15 , 662 ,,,,,,,,,,,,,,,,,,,,,,,,,
 Tennessee ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,
, Memphis  , MEM , 438 , 348 , 77 ," 1,410 ", 118 , 188 , D , 386 , 27 , 246 , 14 , 163 , 14 , D , D , 73 , 597 , 789 , 97 ," 2,032 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Nashville , NTN , 304 , 109 , 12 ," 1,716 ", 60 , 72 , -   , 450 , 30 , D , -   , 146 , 12 , D , -   , 49 , 406 , 189 , 12 ," 2,361 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Texas ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,
, Dallas  , DAL ," 3,635 "," 1,569 ", 309 ," 17,982 ", 575 , 611 , 60 ," 2,321 ", 139 , 201 , 14 , 775 , 23 , 54 , D , 290 ," 4,372 "," 2,435 ", 391 ," 21,368 ",,,,,,,,,,,,,,,,,,,,,,,,,
, El Paso  , ELP , 845 , 854 , 117 ," 2,901 ", 56 , 87 , D , 236 , 62 , 205 , D , 221 , D , D , -   , 10 , 966 ," 1,151 ", 129 ," 3,368 ",,,,,,,,,,,,,,,,,,,,,,,,,
