,,,,,,,,,"Number of I-485 Applications to Register Permanent Residence or Adjust Status by Category of              
Admission, Case Status, and USCIS Field Office or Service Center Location              
January 1 - March 31, 2018  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, Family-based ,,,,Employment-based received at service center1,,,,Humanitarian-based1,,,,Others1,,,, Total ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total ,,,"78,947","68,869","10,410","344,976","30,908","28,336","2,593","162,675","47,211","48,497","1,299","138,599","6,946","6,306","1,062","36,369","164,012","152,008","15,364","682,619",,,,,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Santa Ana , SAA ,"1,363 ","1,456 ",230 ,"6,491 ",-,298 ,19 ,"1,130 ",10 ,37 ,D,75 ,20 ,18 ,D,56 ,"1,393 ","1,809 ",252 ,"7,752 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Colorado ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
, Denver  , DEN ,"1,049 ",613 ,150 ,"5,512 ",-,85 ,D,547 ,94 ,D,D,349 ,D,14 ,D,119 ,"1,151 ",716 ,164 ,"6,527 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Connecticut ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
, Hartford  , HAR ,866 ,414 ,106 ,"3,653 ",D,150 ,10 ,619 ,D,17 ,D,67 ,D,15 ,D,50 ,884 ,596 ,123 ,"4,389 ",,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
,Dover, DVD ,D,-,-,D,-,-,-,-,D,-,-,D,-,-,-,-,10 ,-,-,10 ,,,,,,,,,,,,,,,,,,,,,,,,,
 District of Columbia ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
, Washington  , WAS ,"1,485 ","1,668 ",208 ,"6,539 ",D,311 ,17 ,"1,083 ",74 ,90 ,D,267 ,35 ,54 ,30 ,352 ,"1,603 ","2,123 ",258 ,"8,241 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Florida ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
, Hialeah , HIA ,719 ,610 ,115 ,"3,217 ",-,118 ,D,477 ,"3,081 ","2,411 ",116 ,"9,768 ",D,12 ,D,81 ,"3,809 ","3,151 ",243 ,"13,543 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Jacksonville , JAC ,459 ,461 ,48 ,"1,346 ",-,54 ,D,314 ,169 ,467 ,10 ,572 ,D,D,D,19 ,634 ,988 ,63 ,"2,251 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Kendall , KND ,629 ,630 ,80 ,"2,463 ",D,39 ,D,271 ,"3,363 ","2,567 ",132 ,"10,126 ",D,32 ,13 ,66 ,"3,997 ","3,268 ",230 ,"12,926 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Miami  , MIA ,"1,217 ",505 ,145 ,"7,835 ",D,56 ,D,"1,057 ","1,837 ","1,677 ",57 ,"7,276 ",D,21 ,D,192 ,"3,068 ","2,259 ",214 ,"16,360 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Fort Myers , OFM ,411 ,411 ,53 ,"2,182 ",-,20 ,-,63 ,729 ,542 ,D,"2,495 ",-,D,-,25 ,"1,140 ",977 ,59 ,"4,765 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Oakland Park , OKL ,"1,520 ",998 ,225 ,"8,746 ",D,95 ,D,737 ,300 ,492 ,16 ,"1,621 ",11 ,D,D,51 ,"1,833 ","1,588 ",249 ,"11,155 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Orlando  , ORL ,"1,398 ",835 ,148 ,"6,636 ",-,115 ,D,599 ,406 ,"1,038 ",21 ,"1,302 ",20 ,D,D,61 ,"1,824 ","1,992 ",175 ,"8,598 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Tampa  , TAM ,"1,023 ","1,222 ",186 ,"2,983 ",D,118 ,D,292 ,"1,326 ","2,865 ",65 ,"3,047 ",D,11 ,D,53 ,"2,357 ","4,216 ",260 ,"6,375 ",,,,,,,,,,,,,,,,,,,,,,,,,
, West Palm Beach , WPB ,"1,123 ","1,024 ",181 ,"4,593 ",-,65 ,D,256 ,511 ,721 ,13 ,"1,654 ",D,19 ,D,45 ,"1,643 ","1,829 ",198 ,"6,548 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Georgia ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
, Atlanta  , ATL ,"2,213 ","1,718 ",230 ,"10,904 ",D,179 ,12 ,"1,595 ",121 ,419 ,15 ,"1,362 ",D,26 ,13 ,98 ,"2,349 ","2,342 ",270 ,"13,959 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Hawaii ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
, Honolulu  , HHW ,311 ,353 ,36 ,"1,520 ",-,21 ,D,77 ,D,D,-,37 ,D,D,D,D,313 ,380 ,41 ,"1,636 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Idaho ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
, Boise  , BOI ,166 ,408 ,27 ,606 ,-,37 ,-,87 ,10 ,452 ,D,110 ,D,-,-,D,178 ,897 ,31 ,811 ,,,,,,,,,,,,,,,,,,,,,,,,,
 Illinois ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
, Chicago  , CHI ,"2,994 ","2,263 ",473 ,"13,182 ",D,464 ,28 ,"1,537 ",58 ,36 ,11 ,352 ,18 ,47 ,D,166 ,"3,073 ","2,810 ",521 ,"15,237 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Indiana ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
, Indianapolis  , INP ,632 ,487 ,59 ,"1,746 ",D,85 ,-,310 ,41 ,56 ,D,113 ,D,D,D,44 ,684 ,631 ,63 ,"2,213 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Iowa ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
