,,,,,,,,,"Number of I-485 Applications to Register Permanent Residence or Adjust Status by Category of              
Admission, Case Status, and USCIS Field Office or Service Center Location              
July 1 - September 30, 2018  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, Family-based ,,,,Employment-based received at service center1,,,,Humanitarian-based1,,,,Others1,,,, Total ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total ,,,"80,031","71,980","11,437","372,185","32,530","16,102","2,906","161,023","25,478","44,151","1,490","102,577","4,936","6,932","1,119","29,862","142,975","139,165","16,952","665,647",,,,,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Alabama ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Montgomery , MGA , 510 , 899 , 138 ," 2,245 ", 98 , 74 , D , 622 , 16 , 401 , D , 86 , D , 14 , -   , 29 , 629 ," 1,388 ", 151 ," 2,982 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Alaska ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,
, Anchorage  , ANC , 108 , 139 , 13 , 312 , 17 , D , -   , 58 , -   , D , D , 14 , D , D , -   , -   , 126 , 156 , 14 , 384 ,,,,,,,,,,,,,,,,,,,,,,,,,
 Arizona ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,
, Phoenix  , PHO ," 1,176 ", 783 , 133 ," 6,634 ", 159 , 143 , D , 947 , 86 , 206 , D , 430 , D , 11 , -   , 24 ," 1,430 "," 1,143 ", 146 ," 8,035 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Tucson , TUC , 372 , 521 , 38 ," 1,356 ", 41 , 34 , -   , 159 , -   , 219 , D , 306 , D , D , -   , D , 418 , 779 , 41 ," 1,830 ",,,,,,,,,,,,,,,,,,,,,,,,,
